District/Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969
Gurdaspur,NA,NA,NA,NA,NA,NA,NA,NA,3906,39,100,16,NA,NA,192.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,340,NA,733,3,NA,4,NA,NA,NA,81,81,NA,NA,NA,NA,74,NA,1,14,352,346,120,NA,NA,80,NA,1
Pathankot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,NA,NA,NA,NA,7.13,NA,NA,7,31113,31,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,467,467,NA,755,7,NA,9,NA,NA,NA,1,6,5,NA,NA,NA,79,19,17,29,1679,493,NA,410,410,NA,14,NA
Tarn Taran,NA,NA,9234,NA,NA,NA,86,NA,104,NA,101,8,60,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,NA,2677,33785,NA,NA,NA,171,NA,113,NA,91,128,NA,NA,131,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,343,343,NA,615,7,NA,86,NA,NA,NA,NA,260,NA,NA,NA,NA,30,NA,114,NA,40,3,NA,234,234,NA,NA,NA
Jalandhar,NA,NA,2051,NA,NA,NA,15272,NA,7,NA,136,26,649,75,NA,NA,0.23,0.23,NA,NA,NA,NA,NA,NA,NA,176,176,NA,535,NA,NA,25,NA,NA,NA,NA,1500,NA,NA,NA,NA,NA,NA,149,6,32,85,NA,138,138,33,42,NA
SBS Nagar,NA,376,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,45,18,NA,3,30.04,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,85,85,NA,615,3,NA,3,NA,NA,NA,1,393,NA,76,NA,NA,18,NA,40,34,3,1,NA,19,19,NA,1,NA
Rupnagar,NA,2893,NA,NA,NA,NA,NA,NA,NA,NA,57,10,NA,27,1.5,NA,NA,NA,1,NA,NA,NA,NA,1,NA,7,7,NA,123,NA,NA,43,NA,NA,NA,NA,18,NA,664,NA,NA,NA,NA,33,NA,17,12,NA,23,23,NA,NA,NA
SAS Nagar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,2,3.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,16,NA,17,17,NA,148,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,NA,9,22,NA,75,75,22,NA,NA
Ferozepur,318,7681,6656,NA,NA,2,NA,NA,392,NA,87,954,4554,4554,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,229,229,NA,287,14,NA,173,NA,NA,NA,16,44,NA,3027,NA,NA,78,NA,247,NA,1005,185,NA,523,523,NA,NA,NA
Fazilka,21069,533,NA,NA,NA,NA,135,169,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,NA,NA,NA,NA,NA,NA,NA,146,NA,15,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA,NA,NA,NA,NA,585,585,NA,NA,NA,NA,NA,NA,NA,NA,301,5280,NA,NA,NA,NA,180,NA,238,NA,257,78,NA,34,34,NA,NA,NA
Sri Muktsar Sahib,NA,1522,NA,NA,NA,5475,NA,NA,2110,10,6310,121,NA,51,372.87,12.42,19.05,46.48,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moga,NA,4872,6471,NA,NA,NA,NA,NA,NA,15,13,13,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.75,7.27,94.16,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,86,NA,NA,NA,116,608,28,28113,NA,NA,8,NA,81,31,73,5,NA,NA,NA,NA,NA,19
