Sl.No.,Name of District,No. of Scheme,Sanction Amount (In Lakh),Total Amount Released (In Lakh)
1,Araria,425,3603.666,2993.582
2,Begusarai,1,1.435,77.265
3,Bhagalpur,3,33.1,62.411
4,Bhojpur,1,10.28,737.534
5,Buxar,5,339.743,415.178
6,Chapra,34,184.252,165.604
7,Darbhanga,175,824.533,555.561
8,East Champaran,227,715.438,347.756
9,Gaya,10,225.416,189.347
10,Gopalganj,25,350.084,10.463
11,Jamui,3,8.365,8.365
12,Jehanabad,8,26.287,0
13,Kaimur,10,128.113,16.564
14,Katihar,189,3397.404,2774.955
15,Khagaria,31,295.943,10.94
16,Kishanganj,192,1913.732,1490.598
17,Lakhisarai,1,16.07,91.247
18,Madhepura,34,241.906,241.906
19,Madhubani,203,952.246,952.246
20,Munger,2,7.873,7.873
21,Muzaffarpur,89,621.247,609.066
22,Nalanda,10,64.039,64.03
23,Nawada,1,6.263,6.263
24,Patna,9,101.242,332.35
25,Purnea,210,3013.477,3124.034
26,Rohtas,9,117.41,117.41
27,Saharsa,24,216.799,337.1
28,Samastipur,0,0,195.318
29,Sheohar,47,192.287,192.287
30,Sitamarhi,222,2649.286,1896.679
31,Siwnan,5,4.763,4.763
32,Supaul,64,783.063,421.006
33,Vaishali,2,14.02,14.02
34,West Champaran,160,1228.537,1228.537
Grand Total,Grand Total,2431,22288.319,19692.258
