District/Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,NA,0.54,NA,NA,NA,NA,4.2,0.42,0.95,0.94,0.2,0.32,NA,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,6.92,NA,3.96,0.69,NA,0.09,NA,NA,NA,1.73,1.31,NA,NA,NA,NA,1.71,NA,0.01,0.24,10,10,10,10,10,5,5,2,NA
Pathankot,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,NA,0.07,1.34,NA,NA,NA,NA,6.28,7.46,0.74,0.05,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,5.56,NA,3.17,0.89,NA,0.12,NA,NA,NA,0.02,0.08,0.06,NA,NA,NA,1.14,0.43,0.24,0.3,51,51,51,51,51,44,44,40,NA
Tarn Taran,NA,NA,2.32,NA,0.16,NA,2.18,NA,NA,NA,2.54,0.18,1.52,3.78,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,NA,3.81,12.29,NA,NA,NA,6.42,NA,0.03,NA,NA,4.74,NA,NA,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.23,NA,9.69,2.78,NA,3.52,NA,NA,NA,NA,6.51,NA,NA,NA,NA,1.41,NA,2.16,NA,10,10,10,10,10,5,5,5,5
Jalandhar,NA,2.17,0.5,NA,NA,NA,3.65,NA,0.04,0.61,3.33,NA,0.96,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.36,NA,2.27,NA,NA,0.49,NA,NA,NA,NA,29.7,NA,NA,NA,NA,NA,NA,1.48,NA,13,13,13,13,12,NA,NA,NA,NA
SBS Nagar,NA,0.09,NA,NA,NA,NA,NA,NA,0,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,NA,2.39,NA,NA,NA,NA,0.65,NA,NA,NA,0.51,0.51,NA,0.07,0.85,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,0.52,2.35,NA,1.8,0.9,NA,0.07,NA,NA,NA,0.01,9.95,0,0.2,0.1,NA,0.47,NA,0.98,0.9,66,66,66,69,71,108,119,138,123
Rupnagar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,0.7,NA,1.96,0.11,NA,NA,NA,0.03,NA,NA,0.02,NA,0.05,NA,NA,0.49,NA,3.45,0.01,NA,1.94,NA,NA,NA,NA,0.44,NA,0.32,NA,NA,NA,NA,1.19,NA,17,17,25,25,25,23,24,30,42
SAS Nagar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,0.02,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
