District/Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969
Gurdaspur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370000,370000,NA,278000,NA,NA,NA,NA,NA,NA,NA,25453,NA,NA,NA,NA,NA,NA,NA,7325,286354,153495,5000,NA,NA,193965,NA,379
Pathankot,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,NA,NA,NA,NA,NA,NA,NA,397294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150000,150000,NA,400122,6640,NA,NA,NA,NA,NA,5601,2390,12174,NA,NA,410,NA,5113,8085,8355,827387,198379,NA,115000,115000,NA,1160,NA
Tarn Taran,NA,NA,428,NA,NA,NA,35200,NA,1118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,NA,48950,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24189,24189,NA,78000,24035,NA,10652,NA,NA,NA,NA,250000,NA,NA,NA,NA,6682,NA,6135,NA,29991,2451,NA,17673,17673,NA,NA,NA
Jalandhar,NA,4675,NA,NA,NA,NA,NA,NA,694,32,3109,1284,56171,317766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700000,700000,NA,180000,NA,NA,NA,NA,NA,NA,NA,530475,NA,NA,NA,21,NA,NA,28490,NA,12187,11512,NA,13341,13341,4998,NA,NA
SBS Nagar,NA,NA,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,NA,NA,NA,NA,NA,NA,5520,NA,NA,NA,NA,4603,387,14750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245500,245500,NA,600000,16323,NA,NA,NA,NA,NA,1250,51721,5470,4590,451,545,18000,NA,13241,205448,168,1109,NA,5000,5000,NA,213,NA
Rupnagar,NA,47800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,319,NA,176,NA,200000,200000,NA,214000,40,NA,60000,NA,NA,NA,NA,18630,NA,100000,NA,1800,NA,NA,16617,63,19154,1193,NA,NA,NA,NA,NA,NA
SAS Nagar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34315,34315,NA,250000,NA,NA,NA,NA,NA,NA,NA,41076,NA,408,NA,NA,NA,NA,55351,NA,16020,2815,NA,12873,12873,NA,NA,NA
Ferozepur,14581,69680,42935,NA,NA,18500,NA,NA,30922,NA,23242,NA,50000,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50000,50000,NA,50000,NA,NA,19813,NA,NA,NA,3110,NA,NA,NA,NA,5999,NA,NA,70160,NA,304051,69803,NA,47263,47263,12835,NA,NA
Fazilka,9,NA,NA,NA,NA,NA,NA,1917,2158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,NA,NA,NA,NA,NA,NA,NA,NA,NA,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139355,139355,NA,NA,NA,NA,NA,NA,NA,NA,119000,310000,NA,NA,NA,46804,10544,NA,15229,NA,83060,23824,NA,4100,4100,NA,NA,NA
Sri Muktsar Sahib,NA,NA,NA,NA,NA,1790,NA,NA,102966,35040,145422,NA,NA,NA,NA,22,NA,5600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moga,NA,1650,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34542,300000,1150,NA,NA,NA,3880,NA,18522,12693,18580,1227,NA,NA,NA,NA,NA,NA
Mansa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84801,84801,NA,100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangrur,26,3653,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,42165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150000,NA,NA,NA,NA,NA,NA,NA,186883,NA,NA,NA,NA,29875,NA,56723,NA,10672,NA,NA,85367,85367,27632,NA,115005
Barnala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56331,12238,NA,405911,405911,NA,12392,NA,NA,NA,NA,NA,NA,NA,94480,94480,NA,1110000,NA,NA,NA,NA,NA,NA,NA,NA,NA,164550,NA,NA,16743,NA,80091,NA,13802,134000,NA,12318,12318,NA,6168,169334
Fatehgarh Sahib,24,58,130,NA,10,3,539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18350,18350,NA,150000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Punjab,14640,180466,46063,NA,10,20293,41259,399211,137858,35694,171773,62318,118796,389116,405911,405933,NA,60157,25,NA,NA,319,NA,176,NA,2110990,2110990,NA,3560122,47038,NA,90465,NA,NA,NA,163503,1716628,18794,269548,451,55579,85724,5113,368644,234884,1621426,479208,5000,312935,312935,,7541,284718
