District/Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
Gurdaspur,508,263710,NA,NA,NA,97,325649,21824,51317,52058,11489,6334,25,47274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25657,200177,NA,NA,NA,NA,NA,NA,NA,NA,NA,24880
Pathankot,NA,NA,NA,NA,NA,343,998,998,NA,743800,7945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,NA,NA,NA,NA,100,NA,328,31473,5000,39653,2845,NA,NA,NA,27107,68,173,NA,NA,NA,NA,NA,9408,NA,NA,30836,367999,NA,NA,NA,NA,NA,NA,NA,NA,NA,2552
Tarn Taran,1046,NA,2664,NA,NA,NA,166666,NA,NA,NA,232532,961620,109165,109165,7801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,NA,1037758,116517,NA,NA,NA,228621,NA,111726,NA,111720,161008,NA,NA,129,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,353215,NA,NA,NA,NA,88308,NA,NA,NA,NA,347678
Jalandhar,NA,268265,69073,NA,NA,NA,62655,85,6199,20419,188096,NA,6493,82288,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,263180,NA,NA,NA,NA,22537,NA,NA,NA,NA,1314414
SBS Nagar,NA,5055,347,NA,NA,NA,NA,NA,10169,NA,11514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,NA,97915,3144,NA,NA,NA,43613,NA,18,NA,258466,258466,211051,17717,29970,4,2,40,NA,NA,NA,NA,NA,NA,NA,2753,68470,NA,NA,NA,NA,1405,NA,NA,NA,NA,382887
Rupnagar,NA,96633,95,NA,983,NA,NA,NA,NA,NA,120020,12747,10,32817,2133,10,2,111,2948,NA,NA,4455,NA,2531,NA,640,256191,NA,NA,NA,NA,38000,NA,NA,NA,NA,2850
SAS Nagar,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,16000,1123,NA,2004,2944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,NA,37541,663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,421201,NA,NA,NA,NA,23332,NA,NA,NA,NA,20862
Ferozepur,7264,160360,140125,NA,NA,7299,NA,340,193237,NA,261033,186158,194278,194278,NA,NA,NA,485,NA,NA,NA,20079,NA,NA,NA,12940,191583,NA,NA,NA,NA,121437,NA,NA,NA,NA,110400
Fazilka,610917,6872,4123,NA,158,NA,53862,370143,228475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,NA,NA,NA,NA,NA,NA,NA,144878,NA,87876,NA,NA,NA,NA,10995,NA,NA,21437,NA,NA,NA,NA,NA,NA,NA,NA,487180,NA,NA,NA,NA,10007,NA,NA,NA,NA,442987
Sri Muktsar Sahib,NA,56409,542,NA,1507,8566,NA,NA,119576,607299,952894,13518,NA,58063,322409,3357,3900,NA,17776,NA,NA,NA,NA,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moga,NA,5846,20461,NA,NA,NA,NA,334,24186,158,131489,18911,NA,27140,NA,5341,NA,26321,NA,NA,NA,NA,NA,NA,NA,2530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589093,1724,15,45918,1906,3723,1774,103,NA,NA,NA,NA,NA,NA,NA,NA,6245,NA,NA,NA,NA,28488,NA,NA,NA,NA,82791
Mansa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3191,111340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,NA,77,46559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangrur,1028,95352,NA,NA,NA,NA,NA,NA,NA,NA,500,722,16909,40391,1855,NA,9647,384443,NA,NA,NA,48512,3551,NA,NA,NA,258003,NA,NA,NA,NA,NA,NA,NA,NA,NA,164093
Barnala,NA,NA,NA,NA,146,NA,NA,170,122,NA,26000,22,887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,976,3208782,7398,NA,NA,NA,NA,NA,NA,NA,NA,659840,604,56841,159171,159171,533,641459,NA,NA,NA,7570,NA,NA,NA,4322,235040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fatehgarh Sahib,2002,7014,2828,NA,224,10,5547,102,NA,NA,7875,NA,22,22,NA,1534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Punjab,632741,5347512,367980,NA,3118,16315,887939,570347,1250040,1551263,2932722,2393533,539459,713918,586420,173208,16134,1074502,20740,NA,NA,80616,12959,3184,NA,80163,3170587,NA,NA,510860,NA,333514,NA,NA,NA,NA,2896394
