District/Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969
Gurdaspur,NA,NA,NA,NA,NA,NA,NA,NA,495,495,25,44,1,1092,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,614,614,NA,564,25,NA,11,NA,NA,NA,191,501,NA,NA,NA,NA,165,NA,2,24,1986,326,14,NA,NA,689,NA,2
Pathankot,NA,NA,NA,NA,NA,1,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,NA,NA,NA,NA,NA,NA,3,294,138,138,8,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,22,NA,3,256,256,NA,474,65,NA,NA,NA,NA,NA,11,20,233,NA,NA,2,229,NA,44,15,589,332,NA,145,145,NA,NA,NA
Tarn Taran,NA,NA,130,NA,NA,NA,44,NA,74,NA,47,NA,38,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,NA,101,150,NA,NA,NA,131,NA,142,NA,90,2,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401,401,NA,418,149,NA,100,NA,NA,NA,NA,516,44,NA,NA,NA,92,NA,113,1,181,24,NA,48,48,NA,NA,NA
Jalandhar,NA,166,31,NA,NA,NA,150,NA,23,85,103,53,70,396,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,795,795,NA,338,NA,NA,48,NA,NA,NA,NA,1000,NA,NA,NA,4,4,NA,134,11,54,71,NA,132,132,30,61,NA
SBS Nagar,NA,29,NA,NA,NA,NA,NA,NA,6,NA,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,NA,1,1,NA,NA,NA,82,NA,NA,NA,45,45,47,166,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1170,1170,NA,1159,67,NA,6,NA,NA,NA,9,688,118,10,9,73,122,NA,128,281,42,52,NA,11,11,NA,5,NA
Rupnagar,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,2,54,18,NA,NA,NA,10,NA,NA,5,2,NA,NA,316,316,NA,338,9,NA,254,NA,NA,NA,71,94,NA,74,NA,10,NA,NA,94,7,151,44,NA,70,70,NA,NA,NA
SAS Nagar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,549,549,NA,186,NA,NA,16,NA,NA,NA,NA,589,NA,2,NA,NA,1,NA,201,NA,26,21,NA,91,91,48,NA,NA
Ferozepur,10,72,69,NA,NA,9,NA,NA,96,NA,72,105,124,124,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,94,307,307,NA,193,144,NA,165,NA,NA,NA,20,251,NA,41,NA,151,292,NA,383,NA,885,192,NA,282,282,174,NA,NA
Fazilka,37,8,NA,NA,NA,NA,28,184,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,NA,NA,NA,NA,NA,NA,NA,50,NA,119,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,94,401,401,NA,NA,NA,NA,NA,NA,NA,NA,72,528,11,NA,NA,63,165,NA,95,NA,151,99,NA,27,27,NA,NA,NA
Sri Muktsar Sahib,NA,73,NA,NA,NA,27,NA,NA,227,189,185,147,NA,37,316,22,31,36,33,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moga,NA,30,18,NA,NA,NA,NA,NA,NA,12,79,79,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,56,NA,NA,NA,NA,71,NA,51,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,133,NA,NA,NA,28,520,33,45,NA,NA,52,NA,80,34,47,15,NA,1,1,NA,NA,24
Mansa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,5,136,136,NA,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangrur,4,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,232,29,3,NA,24,27,NA,NA,NA,16,6,NA,32,466,466,NA,84,NA,NA,22,NA,NA,NA,NA,567,NA,NA,NA,NA,29,NA,32,NA,16,NA,NA,19,19,22,NA,245
Barnala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,11,NA,345,345,5,321,NA,NA,NA,36,NA,NA,171,771,771,NA,678,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,25,40,NA,279,NA,25,67,NA,37,37,NA,110,269
Fatehgarh Sahib,NA,18,70,NA,NA,NA,26,NA,NA,1,11,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,,NA,NA,NA,398,398,NA,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Punjab,51,764,469,NA,NA,37,464,553,1408,1041,1196,1081,545,2001,1033,442,93,480,47,NA,NA,81,30,NA,677,6585,6585,NA,5017,459,NA,755,NA,NA,NA,402,5274,439,240,9,328,1191,NA,1585,373,3153,1243,14,863,863,NA,176,540
